FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8195484,8195484,POINT (16.40834858370112 48.18167819557619),Molitorgasse,Molitorgasse,N71,,10,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195485,8195485,POINT (16.408222783350197 48.18158839638906),Molitorgasse,Molitorgasse,71,,1,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195486,8195486,POINT (16.408222783633242 48.18161829614534),Molitorgasse,Molitorgasse,N71,,11,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195487,8195487,POINT (16.408222783633242 48.18161829614534),Molitorgasse,Molitorgasse,N71,,10,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195488,8195488,POINT (16.40767478683541 48.1819716946682),Molitorgasse,Molitorgasse,71,,1,https://anachb.vor.at?P=SQ&input=Wien%20Molitorgasse&start=1,
OEFFHALTESTOGD.8195489,8195489,POINT (16.378794137642647 48.18857188137455),Mommsengasse,Mommsengasse,13A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Mommsengasse&start=1,
OEFFHALTESTOGD.8195490,8195490,POINT (16.2435668883953 48.20813990446956),Mondweg,Mondweg,"450, 50B, 49A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195491,8195491,POINT (16.24352652538131 48.208139871993154),Mondweg,Mondweg,"450, 50B, 49A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195492,8195492,POINT (16.243432088302978 48.20778670665676),Mondweg,Mondweg,"450, 49A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195493,8195493,POINT (16.243391725566667 48.20778667413318),Mondweg,Mondweg,"450, 49A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mondweg&start=1,
OEFFHALTESTOGD.8195494,8195494,POINT (16.297937213726467 48.175532493643374),Montecuccoliplatz,Montecuccoliplatz,"58A, 56A, 56B, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195495,8195495,POINT (16.2973532166296 48.1749633967367),Montecuccoliplatz,Montecuccoliplatz,8A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195496,8195496,POINT (16.297667715528892 48.17554449356628),Montecuccoliplatz,Montecuccoliplatz,"58A, 56A, 56B, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195497,8195497,POINT (16.297227517530473 48.175484594721475),Montecuccoliplatz,Montecuccoliplatz,8A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montecuccoliplatz&start=1,
OEFFHALTESTOGD.8195498,8195498,POINT (16.302168231406323 48.20235046295945),Montleartstraße,Montleartstraße,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montleartstraße&start=1,
OEFFHALTESTOGD.8195499,8195499,POINT (16.302141331333246 48.20246426290333),Montleartstraße,Montleartstraße,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Montleartstraße&start=1,
OEFFHALTESTOGD.8195500,8195500,POINT (16.28273786251031 48.22866974934622),Moosgasse,Moosgasse,44A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Moosgasse&start=1,
OEFFHALTESTOGD.8195501,8195501,POINT (16.368212172577767 48.24876060049869),Mooslackengasse,Mooslackengasse,"5B, 11A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mooslackengasse&start=1,
OEFFHALTESTOGD.8195502,8195502,POINT (16.203574077592673 48.2052243579306),Mooswiesengasse,Mooswiesengasse,"453, 451",,3,https://anachb.vor.at?P=SQ&input=Wien%20Mooswiesengasse&start=1,
